	Scientific Name	Common Name	Region	Family	First Listed	Taxonomic Group	Status	Type
125	Agrostis microphylla	Awned bentgrass	CA	poaceae		Flowering Plants	Not Listed	P
126	Agrostis rossiae	Ross bentgrass	WY	poaceae		Flowering Plants	Not Listed	P
127	Agrotis buchholzi	Buchholz' dart moth	DE, NC, NJ	noctuidae		Insects	Not Listed	I
128	Agrotis cremata	Cremata agrotis noctuid moth	HI	noctuidae		Insects	Not Listed	I
129	Agrotis crinigera	'Poko' noctuid moth	HI	noctuidae		Insects	Not Listed	I
130	Agrotis fasciata	Midway agrotis noctuid moth	HI	noctuidae		Insects	Not Listed	I
131	Agrotis kerri	Kerr's agrotis noctuid moth	HI	noctuidae		Insects	Not Listed	I
132	Agrotis laysanensis	Laysan agrotis noctuid moth	HI	noctuidae		Insects	Not Listed	I
133	Agrotis melanoneura	Black-veined agrotis noctuid moth	HI	noctuidae		Insects	Not Listed	I
134	Agrotis microreas	Microreas agrotis noctuid moth	HI	noctuidae		Insects	Not Listed	I
135	Agrotis potophila	Potophila agrotis noctuid moth	HI	noctuidae		Insects	Not Listed	I
136	Agrotis procellaris	Procellaris agrotis noctuid moth	HI	noctuidae		Insects	Not Listed	I
137	agylla septentrionalis			arctiidae		Insects	Not Listed	I
138	Aimophila aestivalis	Bachman's sparrow	FL, VA	emberizidae		Birds	Not Listed	V
139	Aimophila botterii texana	Texas Botteri's sparrow	TX	emberizidae		Birds	Not Listed	V
140	Aimophila cassinii	Cassin's Sparrow		emberizidae		Birds	Not Listed	V
141	Aimophila ruficeps	Rufous-crowned Sparrow		emberizidae		Birds	Not Listed	V
142	Aimophila ruficeps canescens	Southern California rufous-crowned sparrow	CA	emberizidae		Birds	Not Listed	V
143	Aimophila ruficeps rupicola	Yuma rufous-crowned sparrow	AZ	emberizidae		Birds	Not Listed	V
144	Akialoa stejnegeri	Kauai akialoa (honeycreeper)	HI	drepanidinae	1967.0	Birds	Endangered	V
145	Alabameubria starki	Stark's false water penny	AL	eubriidae		Insects	Not Listed	I
146	Alasmidonta arcula	Altamaha arc-mussel	GA	unionidae		Clams	Under Review in the Candidate or Petition Process	I
147	Alasmidonta atropurpurea	Cumberland elktoe	KY, TN	unionidae	1997.0	Clams	Endangered	I
148	Alasmidonta heterodon	Dwarf wedgemussel	CT, MA, MD, NC, NH, NJ, NY, PA, VA, VT	unionidae	1990.0	Clams	Endangered	I
149	Alasmidonta marginata	 elktoe	AL, IN, KS, MD, MI, MN, MO, ND, NY, OH, OK, PA, SD, TN, VA, WI, WV	unionidae		Clams	Not Listed	I
150	Alasmidonta mccordi	Coosa elktoe	AL	unionidae		Clams	Not Listed	I
151	Alasmidonta raveneliana	Appalachian elktoe	NC, TN	unionidae	1994.0	Clams	Endangered	I
152	Alasmidonta robusta	Carolina elktoe	NC	unionidae		Clams	Not Listed	I
153	Alasmidonta triangulata	Southern elktoe	FL, GA	unionidae		Clams	Under Review in the Candidate or Petition Process	I
154	Alasmidonta varicosa	Brook floater	GA, NC, SC, VA	unionidae		Clams	Not Listed	I
155	Alasmidonta wrightiana	Florida arc-mussel	FL	unionidae		Clams	Not Listed	I
156	albiorix anophthalmus			ideoroncidae		Arachnids	Not Listed	I
157	Alces alces andersoni	Northwestern Moose	MI, MN, ND, WI	cervidae		Mammals	Under Review in the Candidate or Petition Process	V
